step,temp,press,KE,PE,E,Vol
3260,41008.63435,2075244.736,2761.707434,-83.94233262,2677.765101,5000
3270,41779.18038,2046570.744,2813.599498,-135.0805433,2678.518955,5000
3280,39726.54851,2099570.008,2675.365958,2.777043462,2678.143002,5000
3290,41851.99333,2038109.099,2818.503052,-139.8606573,2678.642395,5000
3300,42110.96017,2004717.048,2835.943054,-155.0970328,2680.846021,5000
3310,40523.58111,2038499.036,2729.041748,-44.46549343,2684.576255,5000
3320,40587.52392,2055658.78,2733.347948,-50.15419355,2683.193754,5000
3330,40484.70708,2037498.589,2726.423795,-41.39054581,2685.033249,5000
3340,41543.0768,2012601.97,2797.699212,-108.9253844,2688.773828,5000
3350,41788.64515,2019625.957,2814.236898,-126.7340548,2687.502844,5000
3360,40810.12043,2011502.76,2748.338606,-56.1635699,2692.175036,5000
3370,40738.68293,2017789.679,2743.527681,-50.08213815,2693.445543,5000
3380,40849.20167,2011570.472,2750.970514,-54.13746773,2696.833046,5000
3390,42211.8224,2000934.193,2842.735574,-144.2607325,2698.474842,5000
3400,40995.50331,2039976.446,2760.82313,-61.13397046,2699.689159,5000
3410,41075.60347,2086760.46,2766.217438,-64.22224981,2701.995188,5000
3420,41398.49027,2088681.812,2787.962099,-80.31651011,2707.645589,5000
3430,40613.74308,2099068.165,2735.113665,-25.76007395,2709.353591,5000
3440,42282.93598,2065930.007,2847.524685,-140.0976171,2707.427068,5000
3450,41434.34242,2057901.459,2790.376546,-83.16083522,2707.215711,5000
3460,40896.59611,2090354.415,2754.16227,-46.36125453,2707.801016,5000
3470,39942.2399,2131864.044,2689.891595,18.08761658,2707.979211,5000
3480,40236.74091,2129429.943,2709.724629,-2.096528303,2707.6281,5000
3490,39721.53686,2141046.562,2675.028451,31.40942443,2706.437875,5000
3500,41479.26636,2058633.667,2793.401928,-86.37787087,2707.024057,5000
3510,41634.32189,2055391.266,2803.84407,-95.59193711,2708.252133,5000
3520,41386.45622,2030123.044,2787.151672,-78.77399506,2708.377677,5000
3530,42009.36078,1989022.217,2829.100891,-119.0587813,2710.042109,5000
3540,42904.58666,1983208.778,2889.389461,-178.6590691,2710.730392,5000
3550,40738.173,2083064.546,2743.49334,-26.4659764,2717.027364,5000
3560,41371.30232,2067394.35,2786.131139,-70.63825794,2715.492881,5000
3570,40439.54629,2069199.22,2723.382463,-5.767568883,2717.614894,5000
3580,42045.86125,2021579.688,2831.558997,-109.5529076,2722.00609,5000
3590,41158.75155,2038790.792,2771.817007,-50.15229129,2721.664716,5000
3600,41649.9588,2056163.742,2804.897131,-81.55736993,2723.339761,5000
3610,41205.33508,2069673.902,2774.954153,-50.79891221,2724.155241,5000
3620,41569.14725,2078129.633,2799.454915,-77.8397204,2721.615194,5000
3630,42159.70141,2063973.019,2839.22551,-115.5883165,2723.637194,5000
3640,40165.96282,2112315.473,2704.958111,20.57393542,2725.532046,5000
3650,40569.95584,2055212.507,2732.164833,-7.182277075,2724.982556,5000
3660,41606.07667,2012680.976,2801.941909,-72.66493947,2729.27697,5000
3670,40463.9325,2071078.662,2725.024741,5.795863987,2730.820605,5000
3680,41544.82136,2047286.188,2797.816699,-68.77973248,2729.036966,5000
3690,42548.31031,2100522.676,2865.396196,-137.9675963,2727.428599,5000
3700,41707.4007,2114635.765,2808.765529,-79.66742913,2729.0981,5000
3710,41033.97663,2144716.893,2763.414098,-35.95159905,2727.462499,5000
3720,41218.039,2160179.032,2775.809693,-48.98562135,2726.824071,5000
3730,42880.97669,2114916.66,2887.799459,-161.2550711,2726.544388,5000
3740,41239.92985,2172828.616,2777.283922,-48.63729984,2728.646622,5000
3750,41433.12208,2121320.436,2790.294363,-60.4287483,2729.865614,5000
3760,40687.5785,2104895.81,2740.086077,-8.047766655,2732.03831,5000
3770,42315.74151,2025428.73,2849.733958,-118.0291825,2731.704775,5000
3780,40830.02689,2116836.13,2749.679197,-13.4040243,2736.275173,5000
3790,41694.91303,2125087.237,2807.924553,-73.90197326,2734.02258,5000
